rank,score,name,id,uploads,subs,views,類別
96th,B+,小伶玩具 Xiaoling Toy,UC1krNaypYa_vx9W2Kvku8Xw,"1,690",678K,"565,230,701",
134th,B,電獺少女-女孩的科技日常,UCAr4MVsPBKjhg5eLDDpbDFg,"1,451",542K,"71,809,136",
135th,B,加點吉拿棒,UCec6QE03CMLgtf0f1-uDdbw,537,542K,"70,354,341",
136th,B,嘎老師 Miss Ga,UCJdMrdkCXs5FkR3DHlor81w,255,541K,"32,869,556",
137th,B,本本,UCiiS3Rp6cLZs4qmM3lb8H2A,50,539K,"41,911,984",
138th,B+,彭昱凱(阿凱):09-1688-1688,UCv8VVX5lDyDES9HE4KN99HA,"12,330",536K,"569,727,873",
139th,B,三度,UCIlv2zQgmulRhEa1yCGLhpg,398,536K,"114,836,407",
140th,B,黑火娛樂,UCnMlG9P337rFzaJVly5EZDw,"1,218",529K,"200,257,972",
143rd,B,Ku's dream酷的夢-,UCV1OpUwWJCMiv6gJCRR6yAg,119,527K,"35,000,274",
144th,B-,眾量級CROWDxFUN生活,UC9qPaWpCeczJC3yvwIGzX0w,94,526K,"52,640,326",
148th,B,馬叔叔 Uncle Ma,UCvYrLM80D7-sQLSxIehqLEQ,283,520K,"75,251,089",
149th,B,阿啾小劇場,UCdz-LcN65kBCBrQVGw4ZEmQ,363,519K,"130,324,529",
150th,B-,JR Lee Radio,UCH1jieeP7Ecpo4s-pPT9FWQ,238,518K,"15,373,255",
152nd,B-,冏星人,UC1tp9qN7mqIJ7CLVNVvsKzg,144,516K,"30,524,775",
153rd,B+,台灣大胃王丁丁Ding-Ding,UCJjUwoNYMdRCZbDy_UqxVrw,165,516K,"81,569,685",
154th,B,唐綺陽官方專屬頻道,UCK7LdglLCApOTaylxX8hW2Q,635,506K,"90,209,131",
155th,B,MASAの料理ABC,UCr90FXGOO8nAE9B6FAUeTNA,237,503K,"31,894,541",
156th,B,莫彩曦Hailey,UCZqsvi6uhFrbsJcAmcZudcQ,48,502K,"25,398,879",
157th,B,路路LULU,UCRG28JCnJwuZH06ETKTTZdA,101,502K,"48,185,705",
158th,B,黃小米Mii,UCjZCm3uuhkCvTYE9txucVcw,385,500K,"61,184,651",
163rd,B,BuBuChaCha 傳說,UCe0J0Icrv2hGsyWWioBuStg,901,492K,"178,107,815",
167th,B,Dinter,UC0SkNQXPJ60hKEFubOz0fDA,985,485K,"234,260,497",
175th,B+,大蛇丸,UCQd3V4gv_lcLX9SpIVW3wmw,20,472K,"22,346,145",
174th,B,I'm Charlie,UCyD3eaCai2yyWZEuczgZ-fw,343,473K,"61,906,572",
